property,repo,created_at,file_date,output_file,source_path
Red Arrow Ranch,HansenHomeAI/Red-Arrow-Ranch,2026-02-06T16:29:16Z,02-06-26,index(Red-Arrow-Ranch-02-06-26).html,.sources/Red-Arrow-Ranch/index.html
Copper Rock,HansenHomeAI/Copper-Rock,2026-02-15T02:17:25Z,02-15-26,index(Copper-Rock-02-15-26).html,.sources/Copper-Rock/index.html
Hart Bench Ranch,HansenHomeAI/HBR-SHELL,2025-06-08T00:17:34Z,06-08-25,index(Hart-Bench-Ranch-06-08-25).html,.sources/Hart-Bench-Ranch/index.html
Edgewood Farm,HansenHomeAI/Edgewood,2025-12-10T23:14:01Z,12-10-25,index(Edgewood-Farm-12-10-25).html,.sources/Edgewood-Farm/index.html
Cromwell Island,HansenHomeAI/C-CORE,2025-08-31T01:20:37Z,08-31-25,index(Cromwell-Island-08-31-25).html,.sources/Cromwell-Island/index.html
Three Rivers,HansenHomeAI/PaulTHR,2025-05-08T03:39:11Z,05-08-25,index(Three-Rivers-05-08-25).html,.sources/Three-Rivers/index.html
Dolan Road,HansenHomeAI/DolanRoad-CORE,2025-01-24T22:15:43Z,01-24-25,index(Dolan-Road-01-24-25).html,.sources/Dolan-Road/index.html
Hill Street,HansenHomeAI/Hillst,2024-09-11T21:38:58Z,09-11-24,index(Hill-Street-09-11-24).html,.sources/Hill-Street/index.html
Deer Knoll,HansenHomeAI/Deer-Knoll,2024-10-08T04:45:00Z,10-08-24,index(Deer-Knoll-10-08-24).html,.sources/Deer-Knoll/index.html
Wolf Creek,HansenHomeAI/Fourth10716,2025-01-17T01:31:33Z,01-17-25,index(Wolf-Creek-01-17-25).html,.sources/Wolf-Creek/index.html
Six-S Ranch,HansenHomeAI/Six-S-Core,2024-12-23T21:05:46Z,12-23-24,index(Six-S-Ranch-12-23-24).html,.sources/Six-S-Ranch/index.html
Resort Drive,HansenHomeAI/PaCi,2024-10-15T05:01:38Z,10-15-24,index(Resort-Drive-10-15-24).html,.sources/Resort-Drive/index.html
TL400,HansenHomeAI/Netarts,2024-09-29T02:40:07Z,09-29-24,index(TL400-09-29-24).html,.sources/TL400/index.html
Jones Creek,HansenHomeAI/JoC,2024-09-16T07:09:29Z,09-16-24,index(Jones-Creek-09-16-24).html,.sources/Jones-Creek/index.html
Mt Pleasant,HansenHomeAI/MtPleasant,2024-06-23T01:25:49Z,06-23-24,index(Mt-Pleasant-06-23-24).html,.sources/Mt-Pleasant/index.html
Park Road,HansenHomeAI/park-rd,2024-08-31T21:03:32Z,08-31-24,index(Park-Road-08-31-24).html,.sources/Park-Road/index.html
Columbia Eden,HansenHomeAI/UpColumbiaEden,2024-05-21T02:05:12Z,05-21-24,index(Columbia-Eden-05-21-24).html,.sources/Columbia-Eden/index.html
46th Street,HansenHomeAI/38510SE,2024-06-24T20:32:26Z,06-24-24,index(46th-Street-06-24-24).html,.sources/46th-Street/index.html
